variable,media_A,media_B,var_A,var_B,pv_aov,pv_ad_residuo,pv_lev_residuo,pv_kw
mpayroll,52596.52,56161.34,55513786978.9228,84207091756.1683,0,0,0,0
mpasivos_margen,1143.28,1620.26,15652203.183137,24536879.7765128,0,0,0,0
mcuentas_saldo,185542.83,177336.46,1760044190133.64,1904253252181.47,0.04,0,0.15,0
Visa_msaldototal,25592.37,29194.26,2025985044.87337,2770941198.28441,0,0,0,0
mactivos_margen,-226.54,-992.93,13184613.1387229,15061521.8258335,0,0,0,0
ctarjeta_debito_transacciones,6.24,7.04,80.0855487282429,95.1560794722264,0,0,0,0
mcuenta_corriente,3786.37,3666.33,12378291846.563,21910205768.2621,0.75,0,0.03,0
Visa_msaldopesos,29068.2,33464.67,2305973288.1535,3223338476.18082,0,0,0,0
mrentabilidad_annual,26279.22,25298.14,3924060913.68695,3926876887.0501,0,0,0.2,0
ctarjeta_visa_transacciones,12.28,11.78,206.934770998237,184.647670359907,0,0,0,0
ctrx_quarter,108.08,110.78,6904.13598759339,7325.37325265816,0,0,0,0
Visa_fechaalta,3102.01,3127.32,4845366.37127343,4882923.60651391,0,0,0.06,0
mcaja_ahorro,67213.38,68374.67,44875084192.9206,53202757482.4472,0.07,0,0.18,0
Visa_mpagominimo,4828.94,5370.69,296268672.057761,350581456.054468,0,0,0,0
cproductos,7.6,7.55,2.37421222570308,2.24677340359304,0,0,0,0
Visa_status,0.05,0.13,0.374225094008691,1.08802237558372,0,0,0,0
mtarjeta_visa_consumo,27773.31,28404.49,2012138144.27609,2095637778.10917,0,0,0,0
cpayroll_trx,0.84,0.85,1.31779180999237,1.53110266241875,0,0,0.17,0.09
mprestamos_personales,24132.08,25726.47,6807600846.16511,7901084198.89866,0,0,0,0.02
cliente_edad,46.47,46.51,167.520867464815,167.924960123796,0.25,0,0.69,0.32
